Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64cbaa6be3985327eb5ce1ff,5f52709068e37c52492decd4,AWAITING REVIEW,2023-08-03T13:24:10.644000Z,2023-08-03T13:37:09.741000Z,,2023-08-03T13:37:10.287042Z,780,C1HYOJGP,393,"Polish, English",21,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
64cbaa8293625e7b12590062,613aa993f61806616c8337bb,AWAITING REVIEW,2023-08-03T13:24:21.389000Z,2023-08-03T13:33:24.013000Z,,2023-08-03T13:33:25.578047Z,543,C1HYOJGP,172,"English, French, Italian, Spanish",24,Female,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Part-Time
64cbaa82ea1c4688c7e65517,61628d51ebe5632a11cfd29e,AWAITING REVIEW,2023-08-03T13:24:18.961000Z,2023-08-03T13:44:56.636000Z,,2023-08-03T13:44:57.124989Z,1238,C1HYOJGP,168,English,29,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
64cbaa84ed46441a62f3786e,5ea967566e16ad037690bc4c,AWAITING REVIEW,2023-08-03T13:24:30.566000Z,2023-08-03T13:34:49.666000Z,,2023-08-03T13:34:50.236775Z,620,C1HYOJGP,490,"Portuguese, English",32,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
64cbaa899971181663a6dc34,6010556227f86b3444cbe498,AWAITING REVIEW,2023-08-03T13:24:24.993000Z,2023-08-03T13:35:52.460000Z,,2023-08-03T13:35:57.892575Z,688,NOCODE,272,"Portuguese, English, Spanish",23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
64cbaa8adeb40dd8fc11f910,60bd44ceb5a67e42628e1465,AWAITING REVIEW,2023-08-03T13:24:26.292000Z,2023-08-03T13:32:33.589000Z,,2023-08-03T13:32:34.163677Z,488,C1HYOJGP,61,"English, Greek, German, Italian",26,Male,White,Greece,Greece,Greece,Greek,Yes,DATA_EXPIRED
64cbaa93eba71f09a091e3b5,60db9c9850c39eea109ef1d3,AWAITING REVIEW,2023-08-03T13:24:35.012000Z,2023-08-03T13:40:44.374000Z,,2023-08-03T13:40:44.855851Z,970,C1HYOJGP,171,"English, Afrikaans",25,Male,Black,South Africa,South Africa,South Africa,Afrikaans,Yes,Other
64cbaa96e7430dac6935d0c8,5bc2b61583de340001bf830f,AWAITING REVIEW,2023-08-03T13:24:38.914000Z,2023-08-03T13:46:03.939000Z,,2023-08-03T13:46:04.525197Z,1286,NOCODE,401,"English, Spanish",43,Male,White,Mexico,Mexico,Mexico,Spanish,No,Full-Time
64cbaa974382fa961ff312a3,5f6785ff73bbcf3923de77cc,AWAITING REVIEW,2023-08-03T13:27:10.275000Z,2023-08-03T13:38:12.051000Z,,2023-08-03T13:38:12.559340Z,662,C1HYOJGP,261,"English, Spanish",27,Male,Other,Mexico,Mexico,Mexico,Spanish,No,Unemployed (and job seeking)
64cbaa9e71feb9c7e854b9fd,6133d6ceda5d8d0022d8b108,AWAITING REVIEW,2023-08-03T13:25:23.783000Z,2023-08-03T13:44:39.028000Z,,2023-08-03T13:44:39.545352Z,1156,6133d6ceda5d8d0022d8b108,35,English,22,Male,Black,South Africa,South Africa,South Africa,English,Yes,Other
64cbaa9f1f980c277383fe19,6173a66fe893f70a2506e6f3,AWAITING REVIEW,2023-08-03T13:25:11.116000Z,2023-08-03T13:39:39.591000Z,,2023-08-03T13:39:40.724091Z,869,NOCODE,159,English,28,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
64cbaa9f2dcf8840a25900a6,5f6495def933d1021b49e3da,AWAITING REVIEW,2023-08-03T13:24:51.688000Z,2023-08-03T13:48:01.644000Z,,2023-08-03T13:48:02.993022Z,1390,C1HYOJGP,450,"English, Portuguese",34,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
64cbaaa2964f97d8f46a41e7,60315645c8c7420a2f1ade9c,AWAITING REVIEW,2023-08-03T13:31:30.636000Z,2023-08-03T13:52:00.718000Z,,2023-08-03T13:52:02.060685Z,1231,C1HYOJGP,638,English,36,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Full-Time
64cbaaa69f3c363a2fd259d1,5edf9394395f862684578ea4,AWAITING REVIEW,2023-08-03T13:24:54.696000Z,2023-08-03T13:33:58.583000Z,,2023-08-03T13:33:59.096975Z,544,C1HYOJGP,216,"English, Portuguese",40,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
64cbaaab1f980c277383fe1b,64847f70345fa6e73189dcc4,AWAITING REVIEW,2023-08-03T13:25:03.513000Z,2023-08-03T13:35:26.299000Z,,2023-08-03T13:35:28.501080Z,623,C1HYOJGP,44,English,32,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
64cbaaafd6fd90e8c1fa0bd2,610a68eab019b157052bae82,AWAITING REVIEW,2023-08-03T13:25:03.379000Z,2023-08-03T13:38:42.432000Z,,2023-08-03T13:38:43.364346Z,820,C1HYOJGP,286,English,41,Female,White,South Africa,South Africa,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64cbaab1a93b759a517e15de,5f18197c778743041e82482f,AWAITING REVIEW,2023-08-03T13:25:11.119000Z,2023-08-03T13:37:20.647000Z,,2023-08-03T13:37:21.934174Z,730,C1HYOJGP,194,"English, Afrikaans",37,Male,White,Italy,South Africa,South Africa,English,No,Full-Time
64cbaab63c59715e2acdb8da,645fb39fe95bf65e6bb17d67,AWAITING REVIEW,2023-08-03T13:26:17.796000Z,2023-08-03T13:36:43.861000Z,,2023-08-03T13:36:44.393706Z,627,NOCODE,100,"English, Dutch",22,Male,White,Netherlands,Netherlands,Netherlands,Dutch,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64cbaaba792b53bc6ddfc667,5e31aeefc549ee023d351eab,AWAITING REVIEW,2023-08-03T13:25:14.481000Z,2023-08-03T13:35:12.225000Z,,2023-08-03T13:35:12.808527Z,598,NOCODE,408,"English, Portuguese",25,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
64cbaabbdeb40dd8fc11f923,5e907ee26870110009e83705,AWAITING REVIEW,2023-08-03T13:25:15.648000Z,2023-08-03T13:40:35.458000Z,,2023-08-03T13:40:35.994719Z,920,C1HYOJGP,141,"English, Greek",23,Female,White,Greece,Greece,Greece,Greek,Yes,Full-Time
64cbaac10d5a5558d73d23c7,5dbca1ef74145024a01ab19d,AWAITING REVIEW,2023-08-03T13:25:21.229000Z,2023-08-03T13:37:52.420000Z,,2023-08-03T13:37:52.970847Z,752,NOCODE,336,"Portuguese, English",25,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
64cbaacde06019448f008876,5f5a1dbec9012406a20ea2d7,AWAITING REVIEW,2023-08-03T13:25:33.042000Z,2023-08-03T13:35:23.594000Z,,2023-08-03T13:35:24.370472Z,591,C1HYOJGP,266,"English, Portuguese",23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
64cbaace9ecfd902d9c60218,63c533eab0ca10ad7d286420,AWAITING REVIEW,2023-08-03T13:25:34.227000Z,2023-08-03T13:34:58.204000Z,,2023-08-03T13:35:00.159201Z,564,C1HYOJGP,159,"Dutch, English",32,Male,White,Netherlands,Netherlands,Netherlands,Dutch,No,Unemployed (and job seeking)
64cbaad5216fafbc71ebb832,610303ad37b3a5913241fafa,AWAITING REVIEW,2023-08-03T13:26:01.302000Z,2023-08-03T13:37:34.465000Z,,2023-08-03T13:37:35.008241Z,694,C1HYOJGP,76,English,20,Male,Asian,France,France,France,Vietnamese,Yes,Other
64cbaad807602f1c041c2fc1,610d4b020c0ec927cbd29bb4,AWAITING REVIEW,2023-08-03T13:26:02.722000Z,2023-08-03T13:44:59.056000Z,,2023-08-03T13:44:59.536643Z,1137,C1HYOJGP,198,English,42,Female,Black,South Africa,South Africa,South Africa,English,No,Due to start a new job within the next month
64cbaad9b774cfa80611f92c,606e2ea0c4bd646aee2f2d7f,AWAITING REVIEW,2023-08-03T13:25:49.524000Z,2023-08-03T13:33:42.147000Z,,2023-08-03T13:33:42.666019Z,473,NOCODE,414,"Catalan, Spanish, English",24,Female,White,Spain,Spain,Spain,Spanish,Yes,Unemployed (and job seeking)
64cbaade882173d384b52cc3,60e60b0d04cf1158efcac6ac,AWAITING REVIEW,2023-08-03T13:25:50.821000Z,2023-08-03T13:37:15.410000Z,,2023-08-03T13:37:16.136253Z,685,NOCODE,267,"Polish, English",26,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
64cbaae233c0145f79510296,5fbaf990efe4a5bcf223f9d7,AWAITING REVIEW,2023-08-03T13:25:54.088000Z,2023-08-03T13:43:11.539000Z,,2023-08-03T13:43:12.112690Z,1038,C1HYOJGP,156,English,28,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
64cbaae2b71856f863e972f5,6135ffb8e34bb029c0625679,AWAITING REVIEW,2023-08-03T13:25:54.918000Z,2023-08-03T13:57:03.968000Z,,2023-08-03T13:57:05.912500Z,1870,C1HYOJGP,77,"Afrikaans, English",31,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
64cbaae423df49389805dda9,60ede3759c98e508b1ad7c4e,AWAITING REVIEW,2023-08-03T13:29:07.842000Z,2023-08-03T13:47:24.469000Z,,2023-08-03T13:47:26.121277Z,1097,C1HYOJGP,238,"Portuguese, English, Spanish",44,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
64cbaae538fe7003e1778fd5,617195b7057f4e7f57f881f8,AWAITING REVIEW,2023-08-03T13:26:06.429000Z,2023-08-03T13:38:58.185000Z,,2023-08-03T13:38:58.715153Z,772,C1HYOJGP,91,English,31,Female,Black,South Africa,South Africa,South Africa,English,Yes,Other
64cbaae6332790fb1b94a5d9,6119524b5877c4cb0bffad42,AWAITING REVIEW,2023-08-03T13:25:58.104000Z,2023-08-03T13:38:52.032000Z,,2023-08-03T13:38:52.652930Z,774,C1HYOJGP,332,"Greek, English",34,Male,White,Greece,Greece,Greece,Greek,No,Full-Time
64cbaae6ff4bbc8273d1f50b,615c242aed9f74c9c4d538f8,AWAITING REVIEW,2023-08-03T13:25:58.958000Z,2023-08-03T13:38:42.740000Z,,2023-08-03T13:38:43.204018Z,764,C1HYOJGP,230,"Afrikaans, English",29,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
64cbaaf3dc2c6434d90397a7,61099ed3d23b7e38349fcc01,AWAITING REVIEW,2023-08-03T13:26:11.500000Z,2023-08-03T13:36:44.778000Z,,2023-08-03T13:36:45.357992Z,634,C1HYOJGP,238,"Portuguese, English",24,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
64cbaaf4dc2c6434d90397a8,5f156730fcffd05f688f345f,AWAITING REVIEW,2023-08-03T13:26:12.545000Z,2023-08-03T13:38:53.972000Z,,2023-08-03T13:38:54.716334Z,762,C1HYOJGP,256,"English, Polish",22,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
64cbaafd332790fb1b94a5e0,5f44a14dc9c379248aa705a9,AWAITING REVIEW,2023-08-03T13:26:21.752000Z,2023-08-03T13:42:41.776000Z,,2023-08-03T13:42:42.456358Z,981,C1HYOJGP,488,"English, Latvian, Russian",21,Female,White,Latvia,Latvia,Latvia,Latvian,No,Unemployed (and job seeking)
64cbaafe468670b644ebb7f8,606b9c37607a895a2ee23f13,AWAITING REVIEW,2023-08-03T13:27:10.421000Z,2023-08-03T13:35:57.145000Z,,2023-08-03T13:36:00.172427Z,527,C1HYOJGP,109,"English, Portuguese",22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,DATA_EXPIRED
64cbaaffdc2c6434d90397ad,6159e5f964d5b78cedb9c192,AWAITING REVIEW,2023-08-03T13:26:23.058000Z,2023-08-03T13:39:44.031000Z,,2023-08-03T13:39:44.635447Z,801,C1HYOJGP,543,"Portuguese, English",46,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
64cbab0114013ec4c63e7ba3,5c69824b98f65b0001353794,AWAITING REVIEW,2023-08-03T13:27:26.610000Z,2023-08-03T13:43:14.972000Z,,2023-08-03T13:43:15.488780Z,949,C1HYOJGP,441,"English, Hungarian",47,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
64cbab01b8cf9f946366fbd1,6155818277ac8f35e0436130,AWAITING REVIEW,2023-08-03T13:26:25.616000Z,2023-08-03T13:41:09.508000Z,,2023-08-03T13:41:10.059694Z,884,NOCODE,31,English,28,Female,Black,South Africa,South Africa,South Africa,English,No,DATA_EXPIRED
64cbab0a2515e2a73578ebe8,5fa154fd4cbe97227182aff7,AWAITING REVIEW,2023-08-03T13:26:34.541000Z,2023-08-03T13:39:11.519000Z,,2023-08-03T13:39:12.151496Z,757,NOCODE,411,"English, Afrikaans",31,Male,Mixed,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
64cbab0b49b8cec4ae0e2d89,5f900f411368d403a8f1d2a0,AWAITING REVIEW,2023-08-03T13:26:35.830000Z,2023-08-03T13:54:59.823000Z,,2023-08-03T13:55:07.532957Z,1704,NOCODE,228,"Czech, English",33,Female,White,Czech Republic,Czech Republic,Czech Republic,Czech,No,Full-Time
64cbab0bd81436e88ae98777,5fd941e0e383411330a06e2c,AWAITING REVIEW,2023-08-03T13:26:35.967000Z,2023-08-03T13:37:51.459000Z,,2023-08-03T13:37:51.966204Z,676,NOCODE,147,"English, Polish",21,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
64cbab0d38fe7003e1778fdf,5e86116068b86421a020e345,AWAITING REVIEW,2023-08-03T13:31:25.239000Z,2023-08-03T13:53:47.103000Z,,2023-08-03T13:53:47.627292Z,1342,C1HYOJGP,206,"Portuguese, English",22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Due to start a new job within the next month
64cbab1049b8cec4ae0e2d8a,5fa8d0b36d9bac7b3cbf2e59,AWAITING REVIEW,2023-08-03T13:26:40.128000Z,2023-08-03T13:40:43.224000Z,,2023-08-03T13:40:43.787806Z,844,C1HYOJGP,78,"Italian, English",24,Male,White,Italy,Italy,Italy,Italian,No,Unemployed (and job seeking)
64cbab10aa018d633df378c0,5d52e8962d61440001ac572d,AWAITING REVIEW,2023-08-03T13:26:40.951000Z,2023-08-03T13:41:04.088000Z,,2023-08-03T13:41:04.567449Z,864,C1HYOJGP,248,"Russian, English, Latvian",39,Male,White,Latvia,Latvia,Latvia,Latvian,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64cbab116d3e08279217c6e2,610fcec8b6edd17fa96ccdea,REJECTED,2023-08-03T13:26:41.934000Z,2023-08-03T14:07:34.829000Z,2023-08-03T14:25:53.005000Z,2023-08-03T14:07:35.890000Z,2453,NOCODE,184,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64cbab12cbeb94fbc2ed7e55,6135e184b0782d209ac91e94,AWAITING REVIEW,2023-08-03T13:26:42.567000Z,2023-08-03T13:41:41.006000Z,,2023-08-03T13:41:41.687336Z,899,C1HYOJGP,51,"Afrikaans, English",31,Male,Mixed,South Africa,South Africa,South Africa,Afrikaans,DATA_EXPIRED,DATA_EXPIRED
64cbab13ccc9510510141800,610ec0291eddcdd98691690b,AWAITING REVIEW,2023-08-03T13:26:43.751000Z,2023-08-03T13:37:55.132000Z,,2023-08-03T13:37:55.624124Z,672,NOCODE,276,English,24,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
